# M/Msun  log10(r/cm)   log10(Teff/K)
    0.1000    10.0608     3.5198
    0.1055    10.0731     3.5233
    0.1148    10.0911     3.5299
    0.1200    10.1004     3.5339
    0.1310    10.1199     3.5397
    0.1400    10.1346     3.5444
    0.1600    10.1656     3.5526
    0.2000    10.2196     3.5647
    0.2091    10.2302     3.5668
    0.2500    10.2754     3.5752
    0.2611    10.2864     3.5771
    0.3000    10.3232     3.5829
    0.3500    10.3665     3.5893
    0.4000    10.4054     3.5959
    0.4500    10.4466     3.6030
    0.4613    10.4570     3.6048
    0.5000    10.4919     3.6105
    0.5500    10.5342     3.6197
    0.6000    10.5721     3.6320
    0.6274    10.5902     3.6387
    0.6500    10.6062     3.6438
    0.6907    10.6323     3.6541
    0.7000    10.6388     3.6568
    0.7500    10.6674     3.6759
    0.8000    10.6927     3.6952
    0.8500    10.7173     3.7132
    0.9000    10.7404     3.7302
    0.9500    10.7646     3.7452
    1.0000    10.7912     3.7590
    1.0270    10.8056     3.7659
    1.0500    10.8173     3.7716
    1.1000    10.8428     3.7825
    1.1129    10.8503     3.7859
    1.1500    10.8691     3.7935
    1.2000    10.8944     3.8033
    1.2500    10.9181     3.8131
    1.3000    10.9405     3.8222
    1.3500    10.9598     3.8317
    1.4000    10.9771     3.8413
    1.4500    10.9895     3.8520
    1.5000    10.9980     3.8643
    1.5500    11.0029     3.8776
    1.6000    11.0068     3.8909
    1.6500    11.0111     3.9034
    1.7000    11.0152     3.9153
    1.7500    11.0198     3.9265
    1.7896    11.0239     3.9348
    1.8000    11.0249     3.9369
    1.8500    11.0301     3.9467
    1.9000    11.0359     3.9559
    1.9500    11.0417     3.9646
    2.0000    11.0481     3.9727
    2.0500    11.0546     3.9805
    2.1000    11.0611     3.9879
    2.1221    11.0642     3.9911
    2.1500    11.0679     3.9950
    2.1726    11.0710     3.9981
    2.2000    11.0747     4.0018
    2.2500    11.0815     4.0084
    2.3000    11.0884     4.0147
    2.4000    11.1020     4.0268
    2.6000    11.1288     4.0492
    2.8000    11.1558     4.0692
    2.9489    11.1757     4.0829
    3.0000    11.1826     4.0874
    3.1372    11.2013     4.0988
    3.2000    11.2102     4.1038
    3.3083    11.2254     4.1120
    3.4000    11.2386     4.1186
    3.5795    11.2648     4.1305
    3.6000    11.2679     4.1318
    3.7173    11.2859     4.1387
    3.8000    11.2993     4.1433
    3.8893    11.3144     4.1477
    4.0000    11.3344     4.1526
